greenery_ratio,luminance,visual_complexity,building_regularity
0.8587206522408322,0.11913763288957714,1.482617243482617,-0.8361527632749242
0.6731373637690551,-0.12823156645993303,-0.1731958415634475,0.44064281087780843
-0.7310791856406726,-0.8620202334389987,-0.11904526971678754,0.1696541803803812
0.38964367655251414,0.47921257154063013,1.7502692216133509,-0.5540346186136295
-0.8461942870402672,0.6894895958678143,1.0250650096817835,-0.7923741967705531
-0.36167573525017543,-1.300946112422803,2.039569943737924,-0.45129700378388676
-0.6531603670055717,-0.921110633732977,0.32047591470986664,0.20459957004361248
1.794059288637587,-1.2486760938539043,2.3218075477955424,-0.49918382505896874
-0.5303671338426642,2.446443606778849,-0.8861113765329945,2.659954756546909
-0.4681742665598299,-0.7184221263025253,-0.18186682390580763,0.46117607871588984
0.15509096994583052,2.704531980367013,-0.945659778447084,1.1964960268170957
-0.8241836426521035,2.355886639347509,-1.5391913909678445,-0.3758645552290419
-0.36412136240441584,1.3699194468757983,-0.5555229967649975,-1.1542311379409576
-0.780958604577157,-0.23401168987214602,-0.32169359214188054,0.963509003935865
-0.4875686586434573,-0.8910910953985428,0.5371930495447496,-0.1682115989133385
1.1632296704688112,2.2534397296430635,-0.18973387411046555,-1.1723730682722073
1.9707131942438818,-0.9111903990237691,1.2869171916762367,-1.413342823811775
0.6189923160751748,-1.4122315447739626,0.7125651030120876,0.3783256418954556
-0.6204287756738194,-0.8534828714688122,-0.85056609130173,0.5669800836020468
-0.7630429637960936,0.28224026312403394,-0.05984141014742762,0.01931072461399534
0.04739806258410511,-0.1780145633182985,0.07269254512520336,1.3479539058875458
1.402247068508236,-0.5355955298779791,-0.8553896841279438,-0.6487271072515596
0.296340156865738,-0.7246448258850605,-0.36648409695672124,1.083811348312143
-0.6139734574876267,0.3738066552831747,-1.2545994142212415,3.1273252991946765
-0.3706051181156578,-0.7930937115398433,0.698324019429933,1.5505302898009004
-0.8436633473108789,1.4554279579494724,-0.7652344372570463,-0.3750797743247623
-0.8178136370410588,0.6124810294228217,-0.34466308179051675,0.3107495037787574
1.4079630110431465,-0.4081249548543527,-1.105584850125714,-0.8305065735938909
-0.6926032142489604,-0.5892388222376053,-1.2644188710460333,0.679473778084927
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
-0.7450988854899809,-0.661940750520595,1.8240587071095948,-0.6122784594536844
4.15411793000462,-1.3314362354016323,2.9315900742427123,-0.6730485521171664
-0.43737642693143053,-0.9242629857102352,0.9697085396285702,-0.8114294196975312
-0.47059145618902104,0.801813975195483,0.11495640607869412,0.09710339811806173
-0.18581808034526123,0.6530783557293868,-0.9868325886422645,0.5565253113756563
0.04739806258410511,-0.1780145633182985,0.07269254512520336,1.3479539058875458
-0.34870822382769145,-0.9052774131349579,0.889028207237735,0.5295845765465029
-0.7688442189061523,-0.6191544422565894,-0.21775665148180173,-0.8718768856138844
-0.615395333740092,0.40241572179351054,-0.661642038941697,-0.8323549583465015
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
-0.7656876536256793,-0.715911436183457,-0.2047214661062008,-0.47034974349503444
0.5671507079102881,-0.08283952330587835,-0.34357203103220657,-0.15171796638116442
-0.8225058286741945,-0.18818113167072084,0.06545715588588301,-0.7745174127525313
-0.47059145618902104,0.801813975195483,0.11495640607869412,0.09710339811806173
-0.7902576752682804,0.04115515276451385,-0.22326932899747431,0.509140572573098
-0.47582396079809347,0.9815113482159005,-1.0596458708284415,-0.34128402306722494
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
-0.341257592264773,1.5177518879697256,-0.22947109120260634,-1.093165775844598
-0.47059145618902104,0.801813975195483,0.11495640607869412,0.09710339811806173
-0.5679615419578481,-0.4760403481702092,0.810759671260007,-0.14950921440098736
0.6226607568065352,-0.4416434026261569,0.6722536486787305,3.1318568555926087
1.4079630110431465,-0.4081249548543527,-1.105584850125714,-0.8305065735938909
-0.5441024584414795,1.034732438679299,-0.6471712604630561,-0.8120078464052
0.04739806258410511,-0.1780145633182985,0.07269254512520336,1.3479539058875458
-0.7940398660998383,-0.04953717839461233,0.05288136030325468,-0.748770234230311
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
-0.5441308959665287,-0.16589314974546998,0.6105231452480206,-0.7769953899693659
1.293018534793848,1.252850302345453,-0.512110661329075,0.6755816971374166
0.2617032513556821,0.6320921531434232,-1.1147152222610466,0.8158587812872685
1.4079630110431465,-0.4081249548543527,-1.105584850125714,-0.8305065735938909
-0.6239834663049827,1.2761693867639847,-1.2594804307715763,1.5046641930665063
-0.341257592264773,1.5177518879697256,-0.22947109120260634,-1.093165775844598
0.631533264621919,-0.6092835856170767,-0.5663760806239782,-0.5041143666398751
0.409549944087029,-0.7557874074301788,-0.610018110956387,-0.18530916959706584
-0.8556071078315878,0.08077703023407588,-1.2547142616694844,0.2951126986402716
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
1.1627462325429727,-1.7076681946745262,1.6133136395833578,-0.7081340558832976
-0.3066206867547171,-0.04660094614774856,-0.6509038025309596,1.7032959136458055
-0.47059145618902104,0.801813975195483,0.11495640607869412,0.09710339811806173
0.7187511539481434,-0.3936389272490605,2.1649833572194783,-0.5807535540778429
0.04739806258410511,-0.1780145633182985,0.07269254512520336,1.3479539058875458
1.4079630110431465,-0.4081249548543527,-1.105584850125714,-0.8305065735938909
-0.5358840137022297,-1.0436409556579156,0.14022284469219384,-0.8059691295163787
-0.6198031501227346,1.4285983407625085,-0.9913116391237484,-0.9733116647331164
-0.341257592264773,1.5177518879697256,-0.22947109120260634,-1.093165775844598
-0.6720428836383114,0.7588805280439204,-0.6843244099697253,0.4448904752378735
4.15411793000462,-1.3314362354016323,2.9315900742427123,-0.6730485521171664
-0.7441035721132553,0.692134924310844,-1.5303481374531194,1.769742953506262
